2-s2.0-84902120500
2-s2.0-84904547606
2-s2.0-84904157746
2-s2.0-84891046686
2-s2.0-84884325516
2-s2.0-84884247875
2-s2.0-84883145644
2-s2.0-84878621428
2-s2.0-84898636270
2-s2.0-84890808158
2-s2.0-84898584147
2-s2.0-84877279079
2-s2.0-84871941180
2-s2.0-84856020643
2-s2.0-79960672802
2-s2.0-79960692476
2-s2.0-79958796011
2-s2.0-79956044945
2-s2.0-78049281031
2-s2.0-78049312328
2-s2.0-67650249210
2-s2.0-52049109612
2-s2.0-54949128265
2-s2.0-34548860909
2-s2.0-0028757985
