2-s2.0-77951107511
2-s2.0-77953720162
2-s2.0-77950460433
2-s2.0-77952552958
2-s2.0-77953525080
2-s2.0-77955648674
2-s2.0-77952963989
2-s2.0-77953330270
2-s2.0-77952706319
2-s2.0-76049093801
2-s2.0-77952430691
2-s2.0-77952544793
2-s2.0-84455183834
2-s2.0-77951691278
2-s2.0-77949966915
2-s2.0-77953162780
2-s2.0-77951471631
2-s2.0-77949760437
2-s2.0-79951978860
2-s2.0-77950893059
2-s2.0-77953521007
2-s2.0-75749103274
2-s2.0-70349782302
2-s2.0-74449087140
2-s2.0-77952308774
2-s2.0-75249098345
2-s2.0-77950921092
2-s2.0-70649112202
2-s2.0-77952323090
2-s2.0-73849083826
2-s2.0-72049124278
2-s2.0-72449163469
2-s2.0-77951908748
2-s2.0-77952301602
2-s2.0-70449105193
2-s2.0-77956200202
2-s2.0-77952248935
2-s2.0-82355181915
2-s2.0-77950386125
2-s2.0-77957939682
2-s2.0-84858447131
2-s2.0-77957944845
2-s2.0-77952357618
2-s2.0-77951583025
2-s2.0-72849122473
2-s2.0-70450211119
2-s2.0-71449118322
2-s2.0-73249138118
2-s2.0-70349932546
2-s2.0-73549108498
2-s2.0-70349617848
2-s2.0-70349604727
2-s2.0-69549103028
2-s2.0-68949196294
2-s2.0-69949090037
2-s2.0-77953251489
2-s2.0-70350142166
2-s2.0-68149149843
2-s2.0-67651165469
2-s2.0-67649511992
2-s2.0-67649467709
2-s2.0-73649111016
2-s2.0-68849110038
2-s2.0-67349179926
2-s2.0-65649118272
2-s2.0-64649084111
2-s2.0-67649998672
2-s2.0-67649159812
2-s2.0-66249127931
2-s2.0-67349119487
2-s2.0-65949097476
2-s2.0-60549110217
2-s2.0-67349196060
2-s2.0-66149189591
2-s2.0-77950763384
2-s2.0-64549106993
2-s2.0-64549151021
2-s2.0-77956363638
2-s2.0-51649100007
2-s2.0-58749102194
2-s2.0-51849124537
2-s2.0-70449585278
2-s2.0-58449092338
2-s2.0-52749089212
2-s2.0-54949113319
2-s2.0-60749114776
2-s2.0-77953886818
2-s2.0-57449084879
2-s2.0-57849146227
2-s2.0-55849110002
2-s2.0-53349102438
2-s2.0-51549088462
2-s2.0-49249138914
2-s2.0-43049119653
2-s2.0-42649142944
2-s2.0-47549088474
2-s2.0-51549094380
2-s2.0-43049154963
2-s2.0-42449123287
2-s2.0-79051470958
2-s2.0-36448980684
2-s2.0-38349048684
2-s2.0-38849138643
2-s2.0-40149092816
2-s2.0-70449633074
2-s2.0-35348840879
2-s2.0-77958073012
2-s2.0-42149171251
2-s2.0-40849137820
2-s2.0-38549123387
2-s2.0-34548200818
2-s2.0-36148983782
2-s2.0-34547933658
2-s2.0-42349090024
2-s2.0-34547902902
2-s2.0-34548019491
2-s2.0-34247134446
2-s2.0-34547925238
2-s2.0-33847368229
2-s2.0-34249720042
2-s2.0-34547664921
2-s2.0-33846027145
2-s2.0-34249104797
2-s2.0-33947363727
2-s2.0-34547916406
2-s2.0-34249061398
2-s2.0-33846201119
2-s2.0-33847696926
2-s2.0-33847380621
2-s2.0-33846858650
2-s2.0-33846305408
2-s2.0-33947114782
2-s2.0-33751513983
2-s2.0-33750359693
2-s2.0-33749369460
2-s2.0-33747326870
2-s2.0-33646349230
2-s2.0-33745764008
2-s2.0-33646146489
2-s2.0-17944366710
2-s2.0-10944254083
2-s2.0-7044235937
2-s2.0-12744261752
2-s2.0-11444266839
2-s2.0-4344585538
2-s2.0-9144238159
2-s2.0-11144235563
2-s2.0-3242767678
2-s2.0-3042623654
2-s2.0-10944261861
2-s2.0-2342584668
2-s2.0-2342454370
2-s2.0-1342346651
2-s2.0-1842480237
2-s2.0-1342283077
2-s2.0-0742322295
2-s2.0-0346343067
2-s2.0-0242579247
2-s2.0-0038559883
2-s2.0-0038376314
2-s2.0-0036445859
2-s2.0-0036939460
2-s2.0-0036935214
2-s2.0-0036939470
2-s2.0-0036047171
2-s2.0-0036564394
2-s2.0-0036166580
2-s2.0-0036166388
2-s2.0-0035770312
2-s2.0-0042379768
2-s2.0-0035633990
2-s2.0-0035606798
2-s2.0-0035670196
2-s2.0-0035670129
2-s2.0-0035633987
2-s2.0-0035521833
2-s2.0-0035031180
2-s2.0-0035308393
2-s2.0-0035151642
