nom,nom,nom,nom,num,
A,S,J,O,APL,R
0,0,1,0,2.807911001,0
0,0,1,0,2.808458019,0
0,0,1,0,2.807911001,0
0,0,1,0,2.699529289,0
0,0,1,0,2.464527982,0
0,0,1,0,2.809129144,0
0,0,1,0,2.808458019,0
0,0,1,0,2.809252845,0
0,1,0,1,2.834346505,1
0,0,1,0,2.809252845,0
1,1,1,1,2.681310819,1
1,1,0,1,2.838474778,1
1,1,1,1,2.804651163,1
0,0,1,0,2.811681772,0
0,1,0,0,2.832277679,0
0,0,1,0,2.808134504,0
1,1,0,0,2.698263173,1
1,1,0,1,2.679862798,1
1,1,0,1,2.808134504,1
1,1,0,1,2.811412487,1
0,1,0,1,2.816611734,1
1,1,0,1,2.811412487,1
1,1,0,1,2.808781695,1
1,1,0,1,2.802050769,1
1,1,0,1,2.681310819,1
0,1,0,0,2.834051724,0
0,1,0,0,2.813393529,0
0,0,1,0,2.816658329,0
0,0,1,0,2.817294456,0
0,0,1,0,2.809252845,0
0,1,0,0,2.8307012,0
0,0,1,0,2.810897833,0
0,0,1,0,2.809252845,0
0,0,1,0,2.807911001,0
1,0,0,0,2.810049628,0
0,0,1,0,2.832109264,0
0,0,1,0,2.808526459,0
0,1,0,0,2.808134504,0
0,0,1,0,2.807911001,0
0,0,1,0,2.808581674,0
0,0,1,0,2.808581674,0
0,0,1,0,2.816176471,0
0,0,1,0,2.808581674,0
0,0,1,0,2.810148515,0
0,0,1,0,2.680277451,0
0,0,1,0,2.808581674,0
0,0,1,0,2.811138924,0
0,0,1,0,2.808134504,0
0,0,1,0,2.810225303,0
0,0,1,0,2.808134504,0
0,0,1,0,2.809252845,0
0,0,1,0,2.80620837,0
0,0,1,0,2.560189449,0
0,1,0,0,2.809252845,0
0,0,1,0,2.833505288,0
0,1,0,0,2.844814039,0
1,0,0,0,2.809853924,0
0,0,1,0,2.808134504,0
0,0,1,0,2.808134504,0
0,0,1,0,2.816658329,0
0,1,0,0,2.811129012,0
0,0,1,0,2.81126935,0
0,0,1,0,2.806762664,0
1,1,0,1,2.803241895,1
1,0,0,0,2.808781695,0
1,1,1,0,2.6990134,1
1,0,0,0,2.81030213,0
0,0,1,0,2.808458019,0
0,0,1,0,2.812092323,0
0,0,1,0,2.818411416,0
1,1,0,1,2.803241895,1
0,0,1,0,2.809252845,0
0,0,1,0,2.81242952,0
1,1,1,1,2.837744839,1
0,0,1,0,2.817294456,0
0,0,1,0,2.808581674,0
0,1,1,0,2.820101138,0
0,0,1,0,2.825950951,0
0,0,1,0,2.809252845,0
0,0,1,0,2.843304097,0
0,0,1,0,2.810278638,0
0,0,1,0,2.749313456,0
0,0,1,0,2.808581674,0
0,0,1,0,2.811428571,0
0,0,1,0,2.808134504,0
0,0,1,0,2.808581674,0
0,0,1,0,2.811653622,0
0,0,1,0,2.809500062,0
0,0,1,0,2.811428571,0
0,0,1,0,2.811138924,0
0,0,1,0,2.400555312,0
0,0,1,0,2.807911001,0
0,0,1,0,2.443696002,0
0,0,1,0,2.747779519,0
0,0,1,0,2.808134504,0
0,0,1,0,2.808581674,0
0,0,1,0,2.812616185,0
1,1,0,1,2.802601951,1
0,0,1,0,2.831980415,0
0,1,0,0,2.814190027,0
0,0,1,0,2.808134504,0
0,0,1,0,2.808581674,0
0,0,1,0,2.808581674,0
1,1,0,1,2.805624689,1
1,0,0,0,2.806435395,0
0,1,1,1,2.806324629,1
0,0,1,0,2.813979566,0
1,1,1,1,2.835361864,1
1,0,0,0,2.815359681,0
0,1,0,0,2.809252845,0
1,0,0,0,2.808581674,0
0,0,1,0,2.808134504,0
0,0,1,0,2.808134504,0
1,0,1,0,2.808581674,0
1,1,1,1,2.825365726,1
0,0,1,0,2.808581674,0
0,0,1,0,2.815622275,0
0,0,1,0,2.776781203,0
0,0,1,0,2.808134504,0
0,1,1,1,2.808581674,1
0,0,1,0,2.810148515,0
0,0,1,0,2.808458019,0
0,0,1,0,2.776781203,0
0,0,1,0,2.747779519,0
1,0,1,0,2.807911001,0
0,0,1,0,2.811428571,0
0,0,1,0,2.807911001,0
0,0,1,0,2.815622275,0
0,0,1,0,2.831980415,0
0,0,1,0,2.815622275,0
1,1,1,1,2.818097509,1
0,0,1,0,2.807911001,0
0,0,1,0,2.775686865,0
1,1,0,1,2.680537681,1
0,1,0,1,2.751279978,1
1,0,0,0,2.805753596,0
0,0,1,0,2.45327487,0
0,0,1,0,2.758877796,0
0,0,1,0,2.474004874,0
1,0,0,0,2.809252845,0
1,1,1,1,2.80656168,1
0,0,1,0,2.809175449,0
0,0,1,0,2.80910553,0
0,0,1,0,2.815622275,0
0,0,1,0,2.747779519,0
0,0,1,0,2.747779519,0
0,1,1,0,2.826125668,0
0,0,1,0,2.811400248,0
0,0,1,0,2.811428571,0
0,0,1,0,2.808134504,0
0,0,1,0,2.809641839,0
1,0,1,0,2.809252845,0
0,1,1,1,2.80656168,1
0,1,1,1,2.80656168,1
1,1,1,1,2.695618989,1
0,0,1,0,2.810148515,0
1,1,1,1,2.695618989,1
0,0,1,0,2.811361066,0
