nom,nom,nom,nom,num,num,
A,S,J,O,CC,APL,R
0,1,0,0,0.677546119,2.82765104,0
0,1,0,0,0.683413627,2.808134504,0
1,0,0,0,0.683413627,2.807911001,0
0,1,0,0,0.685179596,2.818135765,0
0,0,1,0,0.686879714,2.815622275,0
0,0,1,0,0.684966802,2.810587055,0
1,1,0,1,0.684353331,2.808084672,1
0,1,0,0,0.683039669,2.809252845,0
1,1,1,1,0.684353331,2.808084672,1
0,0,1,0,0.6842366,2.813776781,0
1,1,0,0,0.687189178,2.805761731,1
0,0,1,0,0.684184579,2.807481297,0
0,0,1,0,0.685383244,2.81242952,0
0,0,1,0,0.683660389,2.809895833,0
0,0,1,0,0.689734833,2.486316091,0
0,0,1,0,0.694749695,2.831637254,0
0,1,0,0,0.676510487,2.829311434,0
1,1,0,1,0.698338736,2.698866146,1
1,1,0,1,0.685994648,2.805709256,1
0,0,1,0,0.68332022,2.808581674,0
1,1,1,1,0.685994648,2.805709256,1
0,1,0,0,0.672629092,2.839064475,0
0,0,1,0,0.684740741,2.473548562,0
0,1,1,0,0.703212435,2.707690024,1
0,1,0,0,0.683039669,2.809252845,0
0,0,1,0,0.684034276,2.809854785,0
0,1,0,1,0.698338736,2.698866146,1
0,0,1,0,0.684428656,2.809500062,0
0,0,1,0,0.683664394,2.603172539,0
0,0,1,0,0.683039669,2.809252845,0
1,1,1,1,0.682477073,2.810148515,1
0,1,0,0,0.687744593,2.831260418,0
0,1,0,0,0.683039669,2.809252845,0
1,0,0,0,0.684184579,2.807255953,1
0,1,0,0,0.683454653,2.809005443,1
0,0,1,0,0.68359298,2.712624795,0
0,0,1,0,0.689873418,2.486594982,0
1,1,0,0,0.698268004,2.698263173,1
0,1,1,1,0.694953424,2.744032922,1
0,0,1,0,0.691956124,2.384955101,0
0,1,0,0,0.683993979,2.815470992,0
0,0,1,0,0.683413627,2.808134504,0
0,0,1,0,0.691441898,2.398511601,0
1,1,0,1,0.68592666,2.80538094,1
