num,num,
CC,APL,R
0.685316755,2.80620837,0
0.683945498,2.560189449,0
0.683039669,2.809252845,0
0.694566215,2.833505288,0
0.694946974,2.844814039,0
0.683443317,2.809853924,0
0.683413627,2.808134504,0
0.683413627,2.808134504,0
0.684756584,2.816658329,0
0.685069754,2.811129012,0
0.681534962,2.81126935,0
0.686562687,2.806762664,0
0.683971575,2.803241895,1
0.683454653,2.808781695,0
0.698176292,2.6990134,1
0.683349754,2.81030213,0
0.683480826,2.808458019,0
0.685315378,2.812092323,0
0.684697366,2.818411416,0
0.683971575,2.803241895,1
0.683039669,2.809252845,0
0.685383244,2.81242952,0
0.681402439,2.837744839,1
0.684893235,2.817294456,0
0.68332022,2.808581674,0
0.681335357,2.820101138,0
0.686197523,2.825950951,0
0.683039669,2.809252845,0
0.69689441,2.843304097,0
0.68329718,2.810278638,0
0.685875818,2.749313456,0
0.68332022,2.808581674,0
0.684480379,2.811428571,0
0.683413627,2.808134504,0
0.68332022,2.808581674,0
0.68438702,2.811653622,0
0.684428656,2.809500062,0
0.684480379,2.811428571,0
0.6852566,2.811138924,0
0.690500407,2.400555312,0
0.683413627,2.807911001,0
0.693151798,2.443696002,0
0.685790725,2.747779519,0
0.683413627,2.808134504,0
0.68332022,2.808581674,0
0.680111266,2.812616185,0
0.683908614,2.802601951,1
0.694820393,2.831980415,0
0.678096571,2.814190027,0
0.683413627,2.808134504,0
0.68332022,2.808581674,0
0.68332022,2.808581674,0
0.683904076,2.805624689,1
0.685316755,2.806435395,0
0.692587724,2.806324629,1
0.684372213,2.813979566,0
0.672743246,2.835361864,1
0.683389628,2.815359681,0
0.683039669,2.809252845,0
0.68332022,2.808581674,0
0.683413627,2.808134504,0
0.683413627,2.808134504,0
0.68332022,2.808581674,0
0.686926242,2.825365726,1
0.68332022,2.808581674,0
0.686879714,2.815622275,0
0.683914843,2.776781203,0
0.683413627,2.808134504,0
0.68332022,2.808581674,1
0.682477073,2.810148515,0
0.683480826,2.808458019,0
0.683914843,2.776781203,0
0.685790725,2.747779519,0
0.683413627,2.807911001,0
0.684480379,2.811428571,0
0.683413627,2.807911001,0
0.686879714,2.815622275,0
0.694820393,2.831980415,0
0.686879714,2.815622275,0
0.69667805,2.818097509,1
0.683413627,2.807911001,0
0.683577973,2.775686865,0
0.690604428,2.680537681,1
0.692495673,2.751279978,1
0.684869394,2.805753596,0
0.684731013,2.45327487,0
0.683847443,2.758877796,0
0.684335209,2.474004874,0
0.683039669,2.809252845,0
0.692587724,2.80656168,1
0.68364532,2.809175449,0
0.683334974,2.80910553,0
0.686879714,2.815622275,0
0.685790725,2.747779519,0
0.685790725,2.747779519,0
0.684925907,2.826125668,0
0.682922014,2.811400248,0
0.684480379,2.811428571,0
0.683413627,2.808134504,0
0.684210526,2.809641839,0
0.683039669,2.809252845,0
0.692587724,2.80656168,1
0.692587724,2.80656168,1
0.703624079,2.695618989,1
0.682477073,2.810148515,0
0.703624079,2.695618989,1
0.685425542,2.811361066,0
0.698268004,2.698513175,1
0.685467883,2.421374896,0
0.684537915,2.424162746,0
0.698268004,2.698513175,1
0.683413627,2.808134504,0
0.696259301,2.816025303,1
0.703257568,2.823147124,1
0.703668862,2.81744817,1
0.696259301,2.816264663,1
0.68332022,2.808581674,0
0.692589577,2.750572391,1
0.692825112,2.752226721,1
0.703257568,2.823147124,1
0.703331238,2.823765389,1
0.683413627,2.808134504,0
0.692825112,2.752226721,1
0.692872438,2.752903052,1
0.698176292,2.6990134,1
0.698268004,2.698513175,1
0.692825112,2.752226721,1
0.683413627,2.807911001,1
0.683413627,2.807911001,1
0.684258142,2.808545918,0
0.70653789,2.824368206,1
0.683413627,2.807911001,0
0.698176292,2.6990134,1
0.683413627,2.808134504,0
0.683413627,2.808134504,1
0.683413627,2.808134504,0
0.683413627,2.807911001,1
0.68332022,2.808358061,0
