nom,nom,nom,nom,num,num,
A,S,J,O,CC,APL,R
1,1,0,1,0.683413627,2.808134504,1
1,0,0,0,0.682477073,2.810148515,0
0,1,0,0,0.687461586,2.827815416,0
0,0,1,0,0.683480826,2.808458019,0
1,1,1,1,0.690604428,2.680778032,1
0,0,1,0,0.68359298,2.712624795,0
1,0,0,0,0.671796963,2.818023617,0
0,1,0,1,0.698338736,2.698866146,1
0,0,1,0,0.683660389,2.809895833,0
0,0,1,0,0.686468647,2.807227366,0
0,0,1,0,0.684850903,2.816408204,0
1,0,1,0,0.684178925,2.818694399,0
0,0,1,0,0.685113939,2.806584877,0
0,0,1,0,0.683413627,2.807911001,0
0,0,1,0,0.683115339,2.719615385,0
0,0,1,0,0.684577809,2.739315688,0
0,0,1,0,0.68332022,2.808581674,0
1,1,1,1,0.685492692,2.807256236,1
0,0,1,0,0.686879714,2.815622275,0
1,0,0,0,0.682477073,2.810148515,0
0,1,0,0,0.672188025,2.835433468,0
0,0,1,0,0.688342823,2.482321072,0
0,0,1,0,0.684869394,2.805753596,0
0,0,1,0,0.691441898,2.398511601,0
0,0,1,0,0.683480826,2.808458019,0
0,0,1,0,0.68332022,2.808581674,0
0,0,1,0,0.683039669,2.809252845,0
0,0,1,0,0.685944655,2.814511041,0
0,0,1,0,0.686311598,2.690363349,0
1,1,1,1,0.686438152,2.723920622,1
1,1,1,1,0.683413627,2.808134504,1
0,0,1,0,0.683039669,2.809252845,0
0,0,1,0,0.682477073,2.810148515,0
0,0,1,0,0.684303872,2.790424457,0
0,0,1,0,0.683361212,2.809129144,0
0,0,1,0,0.682477073,2.810148515,0
1,1,0,1,0.683133305,2.829076621,1
1,0,1,0,0.685663047,2.804071247,1
1,0,0,0,0.683039669,2.809252845,0
1,1,0,1,0.696330275,2.816611734,1
0,1,0,1,0.683480826,2.808458019,1
1,1,0,1,0.690811134,2.681551453,1
0,0,1,0,0.685069754,2.809410289,0
0,0,1,0,0.683930157,2.809138446,0
1,1,0,1,0.684423001,2.805510535,1
1,1,0,1,0.690811134,2.681551453,1
1,1,0,1,0.68332022,2.808581674,1
1,1,1,0,0.685552689,2.806516543,1
0,1,0,1,0.696259301,2.816264663,1
0,0,1,0,0.68332022,2.808581674,0
1,1,0,1,0.690811134,2.681310819,1
1,1,0,1,0.690559266,2.679862798,1
1,0,0,0,0.684685578,2.811268666,0
1,0,0,0,0.690851735,2.811757106,1
0,0,1,0,0.683039669,2.809252845,0
0,0,1,0,0.688215958,2.481217985,0
1,1,1,1,0.690559266,2.679862798,1
0,0,1,0,0.683495719,2.809429526,0
0,0,1,0,0.685383244,2.81242952,0
0,0,1,0,0.685383244,2.81242952,0
1,1,1,1,0.690604428,2.680778032,1
0,0,1,0,0.691441898,2.398511601,0
0,0,1,0,0.683858268,2.809323085,0
0,0,1,0,0.683241434,2.809777228,0
0,0,1,0,0.683361212,2.809129144,0
0,0,1,0,0.683495719,2.809429526,0
0,0,1,0,0.684824903,2.816964844,0
0,0,1,0,0.683413627,2.807911001,0
0,0,1,0,0.694566215,2.833268859,0
0,0,1,0,0.683454653,2.809005443,0
0,0,1,0,0.683359778,2.813341646,0
0,0,1,0,0.683039669,2.809252845,0
1,1,0,1,0.690811134,2.681551453,1
1,0,0,0,0.683862695,2.810599479,0
0,1,0,0,0.677504105,2.82939995,0
1,0,0,0,0.681534962,2.81126935,0
1,0,0,0,0.681534962,2.81126935,0
0,0,1,0,0.683413627,2.807911001,0
0,0,1,0,0.683480826,2.808458019,0
0,0,1,0,0.683413627,2.807911001,0
0,0,1,0,0.685722808,2.699529289,0
0,0,1,0,0.68959276,2.464527982,0
0,0,1,0,0.683361212,2.809129144,0
0,0,1,0,0.683480826,2.808458019,0
0,0,1,0,0.683039669,2.809252845,0
0,1,0,1,0.687376828,2.834346505,1
0,0,1,0,0.683039669,2.809252845,0
1,1,1,1,0.690811134,2.681310819,1
1,1,0,1,0.681298334,2.838474778,1
1,1,1,1,0.685034688,2.804651163,1
0,0,1,0,0.685969261,2.811681772,0
0,1,0,0,0.676934556,2.832277679,0
0,0,1,0,0.683413627,2.808134504,0
1,1,0,0,0.698268004,2.698263173,1
1,1,0,1,0.690559266,2.679862798,1
1,1,0,1,0.683413627,2.808134504,1
1,1,0,1,0.682137405,2.811412487,1
0,1,0,1,0.696330275,2.816611734,1
1,1,0,1,0.682137405,2.811412487,1
1,1,0,1,0.683454653,2.808781695,1
1,1,0,1,0.683867141,2.802050769,1
1,1,0,1,0.690811134,2.681310819,1
0,1,0,0,0.675281501,2.834051724,0
0,1,0,0,0.685722778,2.813393529,0
0,0,1,0,0.684756584,2.816658329,0
0,0,1,0,0.684893235,2.817294456,0
0,0,1,0,0.683039669,2.809252845,0
0,1,0,0,0.676937738,2.8307012,0
0,0,1,0,0.682787209,2.810897833,0
0,0,1,0,0.683039669,2.809252845,0
0,0,1,0,0.683413627,2.807911001,0
1,0,0,0,0.683795246,2.810049628,0
0,0,1,0,0.694656489,2.832109264,0
0,0,1,0,0.683656401,2.808526459,0
0,1,0,0,0.683413627,2.808134504,0
0,0,1,0,0.683413627,2.807911001,0
0,0,1,0,0.68332022,2.808581674,0
0,0,1,0,0.68332022,2.808581674,0
0,0,1,0,0.686947891,2.816176471,0
0,0,1,0,0.68332022,2.808581674,0
0,0,1,0,0.682477073,2.810148515,0
0,0,1,0,0.684038118,2.680277451,0
0,0,1,0,0.68332022,2.808581674,0
0,0,1,0,0.6852566,2.811138924,0
0,0,1,0,0.683413627,2.808134504,0
0,0,1,0,0.682881105,2.810225303,0
0,0,1,0,0.683413627,2.808134504,0
0,0,1,0,0.683039669,2.809252845,0
0,0,1,0,0.685316755,2.80620837,0
0,0,1,0,0.683945498,2.560189449,0
0,1,0,0,0.683039669,2.809252845,0
0,0,1,0,0.694566215,2.833505288,0
0,1,0,0,0.694946974,2.844814039,0
1,0,0,0,0.683443317,2.809853924,0
0,0,1,0,0.683413627,2.808134504,0
0,0,1,0,0.683413627,2.808134504,0
0,0,1,0,0.684756584,2.816658329,0
0,1,0,0,0.685069754,2.811129012,0
0,0,1,0,0.681534962,2.81126935,0
0,0,1,0,0.686562687,2.806762664,0
1,1,0,1,0.683971575,2.803241895,1
1,0,0,0,0.683454653,2.808781695,0
1,1,1,0,0.698176292,2.6990134,1
1,0,0,0,0.683349754,2.81030213,0
0,0,1,0,0.683480826,2.808458019,0
0,0,1,0,0.685315378,2.812092323,0
0,0,1,0,0.684697366,2.818411416,0
1,1,0,1,0.683971575,2.803241895,1
0,0,1,0,0.683039669,2.809252845,0
0,0,1,0,0.685383244,2.81242952,0
1,1,1,1,0.681402439,2.837744839,1
0,0,1,0,0.684893235,2.817294456,0
0,0,1,0,0.68332022,2.808581674,0
0,1,1,0,0.681335357,2.820101138,0
0,0,1,0,0.686197523,2.825950951,0
0,0,1,0,0.683039669,2.809252845,0
0,0,1,0,0.69689441,2.843304097,0
0,0,1,0,0.68329718,2.810278638,0
0,0,1,0,0.685875818,2.749313456,0
0,0,1,0,0.68332022,2.808581674,0
0,0,1,0,0.684480379,2.811428571,0
0,0,1,0,0.683413627,2.808134504,0
0,0,1,0,0.68332022,2.808581674,0
0,0,1,0,0.68438702,2.811653622,0
0,0,1,0,0.684428656,2.809500062,0
0,0,1,0,0.684480379,2.811428571,0
0,0,1,0,0.6852566,2.811138924,0
0,0,1,0,0.690500407,2.400555312,0
0,0,1,0,0.683413627,2.807911001,0
0,0,1,0,0.693151798,2.443696002,0
0,0,1,0,0.685790725,2.747779519,0
0,0,1,0,0.683413627,2.808134504,0
0,0,1,0,0.68332022,2.808581674,0
0,0,1,0,0.680111266,2.812616185,0
1,1,0,1,0.683908614,2.802601951,1
0,0,1,0,0.694820393,2.831980415,0
0,1,0,0,0.678096571,2.814190027,0
0,0,1,0,0.683413627,2.808134504,0
0,0,1,0,0.68332022,2.808581674,0
0,0,1,0,0.68332022,2.808581674,0
1,1,0,1,0.683904076,2.805624689,1
1,0,0,0,0.685316755,2.806435395,0
0,1,1,1,0.692587724,2.806324629,1
0,0,1,0,0.684372213,2.813979566,0
1,1,1,1,0.672743246,2.835361864,1
1,0,0,0,0.683389628,2.815359681,0
0,1,0,0,0.683039669,2.809252845,0
1,0,0,0,0.68332022,2.808581674,0
0,0,1,0,0.683413627,2.808134504,0
0,0,1,0,0.683413627,2.808134504,0
1,0,1,0,0.68332022,2.808581674,0
1,1,1,1,0.686926242,2.825365726,1
0,0,1,0,0.68332022,2.808581674,0
0,0,1,0,0.686879714,2.815622275,0
0,0,1,0,0.683914843,2.776781203,0
0,0,1,0,0.683413627,2.808134504,0
0,1,1,1,0.68332022,2.808581674,1
0,0,1,0,0.682477073,2.810148515,0
0,0,1,0,0.683480826,2.808458019,0
0,0,1,0,0.683914843,2.776781203,0
0,0,1,0,0.685790725,2.747779519,0
1,0,1,0,0.683413627,2.807911001,0
0,0,1,0,0.684480379,2.811428571,0
0,0,1,0,0.683413627,2.807911001,0
0,0,1,0,0.686879714,2.815622275,0
0,0,1,0,0.694820393,2.831980415,0
0,0,1,0,0.686879714,2.815622275,0
1,1,1,1,0.69667805,2.818097509,1
0,0,1,0,0.683413627,2.807911001,0
0,0,1,0,0.683577973,2.775686865,0
1,1,0,1,0.690604428,2.680537681,1
0,1,0,1,0.692495673,2.751279978,1
1,0,0,0,0.684869394,2.805753596,0
0,0,1,0,0.684731013,2.45327487,0
0,0,1,0,0.683847443,2.758877796,0
0,0,1,0,0.684335209,2.474004874,0
1,0,0,0,0.683039669,2.809252845,0
1,1,1,1,0.692587724,2.80656168,1
0,0,1,0,0.68364532,2.809175449,0
0,0,1,0,0.683334974,2.80910553,0
0,0,1,0,0.686879714,2.815622275,0
0,0,1,0,0.685790725,2.747779519,0
0,0,1,0,0.685790725,2.747779519,0
0,1,1,0,0.684925907,2.826125668,0
0,0,1,0,0.682922014,2.811400248,0
0,0,1,0,0.684480379,2.811428571,0
0,0,1,0,0.683413627,2.808134504,0
0,0,1,0,0.684210526,2.809641839,0
1,0,1,0,0.683039669,2.809252845,0
0,1,1,1,0.692587724,2.80656168,1
0,1,1,1,0.692587724,2.80656168,1
1,1,1,1,0.703624079,2.695618989,1
0,0,1,0,0.682477073,2.810148515,0
1,1,1,1,0.703624079,2.695618989,1
0,0,1,0,0.685425542,2.811361066,0
1,1,0,1,0.698268004,2.698513175,1
0,0,1,0,0.685467883,2.421374896,0
0,0,1,0,0.684537915,2.424162746,0
1,1,0,1,0.698268004,2.698513175,1
0,1,0,0,0.683413627,2.808134504,0
1,1,1,1,0.696259301,2.816025303,1
0,1,1,1,0.703257568,2.823147124,1
0,1,1,1,0.703668862,2.81744817,1
1,1,1,1,0.696259301,2.816264663,1
1,0,0,0,0.68332022,2.808581674,0
0,1,1,1,0.692589577,2.750572391,1
0,1,1,1,0.692825112,2.752226721,1
0,1,1,0,0.703257568,2.823147124,1
