EID
2-s2.0-84926155134
2-s2.0-84924625782
2-s2.0-84922989880
2-s2.0-84922356704
2-s2.0-84926386952
2-s2.0-84919626382
2-s2.0-84924415780
2-s2.0-84924859993
2-s2.0-84925697575
2-s2.0-84911885027
2-s2.0-84912016685
2-s2.0-84925865095
2-s2.0-84922798981
2-s2.0-84908400642
2-s2.0-84905240127
2-s2.0-84926500408
2-s2.0-84924544168
2-s2.0-84905893542
2-s2.0-84905656313
2-s2.0-84899877891
2-s2.0-84897423037
2-s2.0-84897468876
2-s2.0-84903543060
2-s2.0-84901461388
2-s2.0-84901569959
2-s2.0-84901044431
2-s2.0-84894092447
2-s2.0-84899491116
2-s2.0-84898005433
2-s2.0-84899448459
2-s2.0-84896365483
2-s2.0-84893777814
2-s2.0-84891835820
2-s2.0-84887561975
2-s2.0-84922392182
2-s2.0-84898400962
2-s2.0-84902437209
2-s2.0-84919940913
2-s2.0-84903638985
2-s2.0-84910049379
2-s2.0-84922377329
2-s2.0-84901834356
2-s2.0-84897065792
2-s2.0-84905866908
2-s2.0-84912151022
2-s2.0-84905181699
2-s2.0-84911806300
2-s2.0-84903275356
2-s2.0-84922834588
2-s2.0-84914144278
2-s2.0-84910049456
2-s2.0-84908329647
2-s2.0-84905263656
2-s2.0-84900824224
2-s2.0-84904550515
2-s2.0-84922444035
2-s2.0-84902106459
2-s2.0-84908032222
2-s2.0-84907054428
2-s2.0-84905189847
2-s2.0-84905197300
2-s2.0-84895925698
2-s2.0-84911390849
2-s2.0-84925130327
2-s2.0-84902294419
2-s2.0-84891873632
2-s2.0-84906094538
2-s2.0-84910072678
2-s2.0-84908451679
2-s2.0-84903818415
2-s2.0-84893760900
2-s2.0-84890356660
2-s2.0-84889779325
2-s2.0-84902396550
2-s2.0-84887258164
2-s2.0-84886724249
2-s2.0-84896806675
2-s2.0-84888124282
2-s2.0-84890568493
2-s2.0-84884673113
2-s2.0-84885960952
2-s2.0-84885356077
2-s2.0-84883463749
2-s2.0-84884581059
2-s2.0-84884973541
2-s2.0-84884178255
2-s2.0-84884127810
2-s2.0-84877272475
2-s2.0-84883572455
2-s2.0-84882446089
2-s2.0-84882388745
2-s2.0-84885148869
2-s2.0-84887541550
2-s2.0-84885321972
2-s2.0-84883316662
2-s2.0-84881463927
2-s2.0-84881462833
2-s2.0-84880916206
2-s2.0-84879691333
2-s2.0-84883678959
2-s2.0-84878717667
2-s2.0-84878644552
2-s2.0-84878405929
2-s2.0-84883014181
2-s2.0-84881186668
2-s2.0-84880111593
2-s2.0-84878048582
2-s2.0-84877729297
2-s2.0-84876677878
2-s2.0-84875678917
2-s2.0-84876012610
2-s2.0-84875512268
2-s2.0-84875458385
2-s2.0-84875459846
2-s2.0-84885301509
2-s2.0-84875286708
2-s2.0-84874614944
2-s2.0-84877869541
2-s2.0-84877944954
2-s2.0-84875473789
2-s2.0-84869833722
2-s2.0-84872193867
2-s2.0-84878614061
2-s2.0-84883655103
2-s2.0-84871356190
2-s2.0-84870851223
